nflId,height,weight,birthDate,collegeName,position,displayName,corrected_birthDate,Age
25511,6-4,225,1977-08-03,Michigan,QB,Tom Brady,1977-08-03,47
29550,6-4,328,1982-01-22,Arkansas,T,Jason Peters,1982-01-22,42
29851,6-2,225,1983-12-02,California,QB,Aaron Rodgers,1983-12-02,41
30842,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis,1984-05-19,40
33084,6-4,217,1985-05-17,Boston College,QB,Matt Ryan,1985-05-17,39
33099,6-6,245,1985-01-16,Delaware,QB,Joe Flacco,1985-01-16,39
33107,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown,1985-08-30,39
33130,5-10,175,1986-12-01,California,WR,DeSean Jackson,1986-12-01,38
33131,6-8,300,1986-09-01,Miami,DE,Calais Campbell,1986-09-01,38
33138,6-3,222,1985-07-02,Michigan,QB,Chad Henne,1985-07-02,39
33234,6-0,205,1985-09-09,UCLA,WR,Matt Slater,1985-09-09,39
34452,6-3,220,1988-02-07,Georgia,QB,Matthew Stafford,1988-02-07,36
34754,6-0,229,1986-10-07,Missouri,QB,Chase Daniel,1986-10-07,38
34843,6-2,215,1985-10-13,Michigan State,QB,Brian Hoyer,1985-10-13,39
35443,6-5,320,1988-07-19,Oklahoma,T,Trent Williams,1988-07-19,36
35449,6-3,304,1987-05-12,California,NT,Tyson Alualu,1987-05-12,37
35452,6-2,265,1988-04-03,Michigan,DE,Brandon Graham,1988-04-03,36
35454,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,1989-01-01,35
35459,5-10,185,1988-04-10,Alabama,SS,Kareem Jackson,1988-04-10,36
35466,5-10,195,1987-08-13,Rutgers,FS,Devin McCourty,1987-08-13,37
35470,6-2,254,1988-08-13,Texas Christian,DE,Jerry Hughes,1988-08-13,36
35472,6-5,325,1988-06-06,Indiana,G,Rodger Saffold,1988-06-06,36
35493,6-6,285,1989-02-28,Florida,OLB,Carlos Dunlap,1989-02-28,35
35522,6-3,335,1988-06-08,Kentucky,DT,Corey Peters,1988-06-08,36
35562,6-4,330,1987-03-25,Louisiana State,NT,Al Woods,1987-03-25,37
36785,6-8,330,1985-10-27,Texas State,T,Ty Nsekhe,1985-10-27,39
37075,6-3,250,1989-03-26,Texas A&amp;M,OLB,Von Miller,1989-03-26,35
37077,6-4,210,1988-07-31,Georgia,WR,A.J. Green,1988-07-31,36
37078,6-1,203,1990-07-11,Louisiana State,CB,Patrick Peterson,1990-07-11,34
37079,6-3,220,1989-02-08,Alabama,WR,Julio Jones,1989-02-08,35
37084,6-5,288,1989-03-22,Wisconsin,DE,J.J. Watt,1989-03-22,35
37087,6-4,257,1990-05-18,North Carolina,OLB,Robert Quinn,1990-05-18,34
37097,6-4,287,1989-07-10,California,DE,Cameron Jordan,1989-07-10,35
37101,5-9,215,1989-12-21,Alabama,RB,Mark Ingram,1989-12-21,35
37104,6-5,295,1989-05-06,Ohio State,DT,Cameron Heyward,1989-05-06,35
37110,6-2,220,1987-10-29,Texas Christian,QB,Andy Dalton,1987-10-29,37
37118,6-6,265,1989-11-09,Notre Dame,TE,Kyle Rudolph,1989-11-09,35
37130,6-2,315,1989-07-12,Florida State,C,Rodney Hudson,1989-07-12,35
37139,5-10,192,1990-08-22,Kentucky,WR,Randall Cobb,1990-08-22,34
37145,6-3,270,1989-01-21,Georgia,OLB,Justin Houston,1989-01-21,35
37213,6-6,335,1988-05-06,Texas Christian,T,Marcus Cannon,1988-05-06,36
37255,6-1,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,1989-08-03,35
37266,6-3,295,1987-11-05,Cincinnati,C,Jason Kelce,1987-11-05,37
37308,6-4,315,1990-03-17,Arizona State,DT,Lawrence Guy,1990-03-17,34
37724,5-10,199,1989-06-18,Kansas,CB,Chris Harris,1989-06-18,35
37778,6-1,235,1989-08-24,Auburn,ILB,Josh Bynes,1989-08-24,35
37792,6-1,250,1989-05-12,Central Michigan,ILB,Nick Bellore,1989-05-12,35
37841,6-3,260,1987-09-06,Troy,DE,Mario Addison,1987-09-06,37
38538,6-4,207,1988-07-27,Texas A&amp;M,QB,Ryan Tannehill,1988-07-27,36
38540,6-1,202,1990-09-19,South Carolina,CB,Stephon Gilmore,1990-09-19,34
38542,6-4,310,1990-12-13,Mississippi State,DT,Fletcher Cox,1990-12-13,34
38544,6-5,305,1990-12-21,Louisiana State,DE,Michael Brockers,1990-12-21,34
38545,6-3,250,1987-11-01,West Virginia,OLB,Bruce Irvin,1987-11-01,37
38548,6-2,247,1989-04-26,South Carolina,OLB,Melvin Ingram,1989-04-26,35
38551,6-5,265,1990-02-27,Syracuse,DE,Chandler Jones,1990-02-27,34
38553,6-6,305,1988-12-01,Iowa,T,Riley Reiff,1988-12-01,36
38557,6-4,315,1990-03-08,Wisconsin,G,Kevin Zeitler,1990-03-08,34
38559,6-2,214,1989-02-02,Notre Dame,SS,Harrison Smith,1989-02-02,35
38577,6-0,242,1990-06-27,Utah State,ILB,Bobby Wagner,1990-06-27,34
38588,6-1,233,1990-01-23,Nebraska,ILB,Lavonte David,1990-01-23,34
38589,6-3,279,1988-06-30,Marshall,DE,Vinny Curry,1988-06-30,36
38592,5-11,192,1989-09-09,Vanderbilt,CB,Casey Hayward,1989-09-09,35
38605,5-11,215,1988-11-29,Wisconsin,QB,Russell Wilson,1988-11-29,36
38607,6-2,248,1989-01-11,Arkansas State,MLB,Demario Davis,1989-01-11,35
38618,6-6,243,1989-01-20,Arizona,QB,Nick Foles,1989-01-20,35
38619,6-4,352,1989-11-16,"Regina, Can.",DT,Akiem Hicks,1989-11-16,35
38629,6-3,308,1989-07-02,Georgia,C,Ben Jones,1989-07-02,35
38632,6-3,202,1988-08-19,Michigan State,QB,Kirk Cousins,1988-08-19,36
38683,6-8,321,1990-01-16,Purdue,T,Dennis Kelly,1990-01-16,34
38696,6-2,198,1990-03-12,California,WR,Marvin Jones,1990-03-12,34
38707,6-0,200,1990-06-17,Presbyterian,CB,Justin Bethel,1990-06-17,34
38779,6-3,308,1989-06-08,Southern Methodist,T,Kelvin Beachum,1989-06-08,35
38843,5-10,195,1990-06-23,Virginia,FS,Rodney McLeod,1990-06-23,34
38852,5-11,195,1990-03-17,Stanford,SS,Michael Thomas,1990-03-17,34
38868,6-1,212,1990-08-07,Wyoming,FS,Tashaun Gipson,1990-08-07,34
38937,6-1,215,1988-02-17,Houston,QB,Case Keenum,1988-02-17,36
38947,5-8,174,1989-04-26,Southern Methodist,WR,Cole Beasley,1989-04-26,35
39212,5-11,220,1990-01-26,Mississippi,RB,Brandon Bolden,1990-01-26,34
39646,6-3,225,1991-04-13,Baylor,WR,Josh Gordon,1991-04-13,33
39684,6-3,305,1990-02-26,Pennsylvania,G,Greg Van Roten,1990-02-26,34
39908,6-2,220,1990-04-02,"California, Pa.",FS,Erik Harris,1990-04-02,34
39941,5-10,207,1990-02-26,Southern Methodist,FS,Chris Banjo,1990-02-26,34
39950,6-6,317,1990-05-08,Oklahoma,T,Lane Johnson,1990-05-08,34
39965,6-5,311,1990-08-15,Syracuse,G,Justin Pugh,1990-08-15,34
39973,6-1,212,1992-06-06,Clemson,WR,DeAndre Hopkins,1992-06-06,32
39975,6-2,238,1991-03-17,Tennessee,RB,Cordarrelle Patterson,1991-03-17,33
39983,6-5,250,1990-11-10,Stanford,TE,Zach Ertz,1990-11-10,34
39984,6-0,190,1991-01-01,Mississippi State,CB,Darius Slay,1991-01-01,33
39987,6-3,221,1990-10-10,West Virginia,QB,Geno Smith,1990-10-10,34
39989,6-0,193,1992-04-10,Southern California,WR,Robert Woods,1992-04-10,32
39997,6-3,340,1992-03-30,Ohio State,DT,Johnathan Hankins,1992-03-30,32
39998,6-1,245,1991-05-05,Florida,OLB,Jon Bostic,1991-05-05,33
40000,6-3,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,1989-10-20,35
40011,6-5,260,1989-10-05,Cincinnati,TE,Travis Kelce,1989-10-05,35
40017,5-9,190,1992-05-13,Louisiana State,FS,Tyrann Mathieu,1992-05-13,32
40023,6-5,304,1991-07-23,Arkansas-Pine Bluff,T,Terron Armstead,1991-07-23,33
40024,6-2,211,1992-04-27,California,WR,Keenan Allen,1992-04-27,32
40026,5-9,179,1990-11-19,Texas,WR,Marquise Goodwin,1990-11-19,34
40030,6-3,327,1989-07-11,Georgia,DT,John Jenkins,1989-07-11,35
40031,5-11,195,1991-02-09,Rutgers,FS,Logan Ryan,1991-02-09,33
40039,6-1,205,1991-01-24,Rutgers,SS,Duron Harmon,1991-01-24,33
40048,6-1,307,1991-11-29,Illinois,DT,Akeem Spence,1991-11-29,33
40057,6-4,310,1991-09-30,Colorado,T,David Bakhtiari,1991-09-30,33
40074,6-6,281,1991-07-31,Michigan State,DE,William Gholston,1991-07-31,33
40078,6-1,240,1991-04-23,Harvard,FB,Kyle Juszczyk,1991-04-23,33
40089,6-5,315,1991-06-05,Virginia,G,Oday Aboushi,1991-06-05,33
40095,6-3,263,1990-09-16,Buffalo,OLB,Steven Means,1990-09-16,34
40096,6-1,240,1991-07-30,Iowa State,OLB,A.J. Klein,1991-07-30,33
40107,6-0,197,1990-12-31,Iowa,FS,Micah Hyde,1990-12-31,34
40124,6-5,310,1990-08-24,San Jose State,G,David Quessenberry,1990-08-24,34
40129,6-3,230,1990-01-18,Central Florida,RB,Latavius Murray,1990-01-18,34
40138,5-10,215,1990-07-02,Nebraska,RB,Rex Burkhead,1990-07-02,34
40149,6-6,255,1990-01-11,Connecticut,TE,Ryan Griffin,1990-01-11,34
40166,6-0,191,1991-04-25,Oregon State,SS,Jordan Poyer,1991-04-25,33
40171,6-4,309,1990-02-21,Samford,DT,Nicholas Williams,1990-02-21,34
40347,6-3,328,1991-04-20,Wyoming,NT,Mike Purcell,1991-04-20,33
40463,6-3,263,1991-07-02,Pennsylvania,OLB,Brandon Copeland,1991-07-02,33
40488,6-2,200,1990-08-22,Minn. State-Mankato,WR,Adam Thielen,1990-08-22,34
40494,5-8,178,1992-01-17,Southern California,CB,Nickell Robey,1992-01-17,32
40737,5-11,212,1992-01-27,Oklahoma,SS,Tony Jefferson,1992-01-27,32
41069,6-2,300,1989-06-05,Iowa,C,James Ferentz,1989-06-05,35
41227,6-5,255,1993-02-14,South Carolina,OLB,Jadeveon Clowney,1993-02-14,31
41230,6-1,211,1993-06-14,Clemson,WR,Sammy Watkins,1993-06-14,31
41231,6-3,269,1991-02-22,Buffalo,DE,Khalil Mack,1991-02-22,33
41232,6-5,309,1992-02-11,Texas A&amp;M,T,Jake Matthews,1992-02-11,32
41233,6-5,231,1993-08-21,Texas A&amp;M,WR,Mike Evans,1993-08-21,31
41235,6-5,255,1992-03-18,UCLA,OLB,Anthony Barr,1992-03-18,32
41237,6-7,309,1991-07-22,Michigan,T,Taylor Lewan,1991-07-22,33
41239,6-1,280,1991-05-23,Pittsburgh,DT,Aaron Donald,1991-05-23,33
41240,5-11,194,1992-02-16,Virginia Tech,CB,Kyle Fuller,1992-02-16,32
41242,6-4,315,1990-11-20,Notre Dame,G,Zack Martin,1990-11-20,34
41243,6-2,250,1992-06-19,Alabama,ILB,C.J. Mosley,1992-06-19,32
41245,6-6,312,1992-06-03,Tennessee,T,Ja'Wuan James,1992-06-03,32
41246,5-10,183,1993-09-25,Oregon State,WR,Brandin Cooks,1993-09-25,31
41256,5-11,193,1991-07-18,Northern Illinois,FS,Jimmie Ward,1991-07-18,33
41257,5-11,194,1992-05-01,Ohio State,CB,Bradley Roby,1992-05-01,32
41258,6-2,215,1992-11-10,Louisville,QB,Teddy Bridgewater,1992-11-10,32
41263,6-3,265,1992-04-28,Boise State,DE,Demarcus Lawrence,1992-04-28,32
41264,6-4,320,1991-10-11,Nevada,G,Joel Bitonio,1991-10-11,33
41265,6-3,210,1991-03-28,Fresno State,QB,Derek Carr,1991-03-28,33
41269,6-3,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy,1991-03-26,33
41270,5-8,185,1990-11-27,Florida State,SS,Lamarcus Joyner,1990-11-27,34
